선진(136490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-02-16,3653,4201,3219,4202,1406409,74888.0,8140000.0
2011-02-17,4635,4818,3653,3731,2916103,66504.0,8140000.0
2011-02-18,3781,3950,3407,3425,677816,61050.0,8140000.0
2011-02-21,3448,3845,3439,3608,557782,64306.0,8140000.0
2011-02-22,3585,3713,3553,3713,267714,66178.0,8140000.0
2011-02-23,3699,3740,3425,3517,202684,62678.0,8140000.0
2011-02-24,3493,3644,3425,3435,175395,61213.0,8140000.0
2011-02-25,3512,3512,3311,3334,114003,59422.0,8140000.0
2011-02-28,3297,3356,3128,3138,169937,55922.0,8140000.0
2011-03-02,3060,3142,2936,2946,145935,52503.0,8140000.0
2011-03-03,2959,3384,2959,3384,138682,60317.0,8140000.0
2011-03-04,3429,3653,3292,3380,246945,60236.0,8140000.0
2011-03-07,3370,3539,3311,3535,78414,63004.0,8140000.0
2011-03-08,3649,3973,3562,3791,264090,67562.0,8140000.0
2011-03-09,3830,3830,3585,3722,66584,66341.0,8140000.0
2011-03-10,3735,4019,3721,3905,134840,69597.0,8140000.0
2011-03-11,3932,4279,3827,3836,261720,68376.0,8140000.0
2011-03-14,3790,3950,3539,3887,150776,69271.0,8140000.0
2011-03-15,3991,4133,3603,3973,233215,70818.0,8140000.0
2011-03-16,3964,4037,3836,3878,122404,69109.0,8140000.0
2011-03-17,3786,3927,3740,3891,77895,69353.0,8140000.0
2011-03-18,3959,3959,3836,3850,73744,68620.0,8140000.0
2011-03-21,3859,3941,3831,3855,40897,68702.0,8140000.0
2011-03-22,3882,4133,3813,4042,105192,72039.0,8140000.0
2011-03-23,4087,4124,3923,3923,78701,69923.0,8140000.0
2011-03-24,3891,4019,3822,4019,85550,71632.0,8140000.0
2011-03-25,4019,4105,3982,4019,57199,71632.0,8140000.0
2011-03-28,4019,4220,3927,4147,97494,73911.0,8140000.0
2011-03-29,4201,4201,4064,4179,32200,74481.0,8140000.0
2011-03-30,4178,4201,4110,4188,36303,74644.0,8140000.0
2011-03-31,4197,4315,4137,4229,52040,75376.0,8140000.0
2011-04-01,4238,4430,4238,4339,70354,77330.0,8140000.0
2011-04-04,4389,4772,4338,4476,142350,79772.0,8140000.0
2011-04-05,4498,4562,4389,4512,51003,80423.0,8140000.0
2011-04-06,4589,4841,4512,4636,160766,82621.0,8140000.0
2011-04-07,4635,4749,4448,4544,75072,80993.0,8140000.0
2011-04-08,4612,4612,4366,4590,120220,81807.0,8140000.0
2011-04-11,4480,4658,4480,4590,44103,81807.0,8140000.0
2011-04-12,4635,4864,4589,4636,70872,82621.0,8140000.0
2011-04-13,4795,4909,4681,4818,48608,85877.0,8140000.0
2011-04-14,4795,4841,4635,4818,57049,85877.0,8140000.0
2011-04-15,4841,4932,4704,4796,48106,85470.0,8140000.0
2011-04-18,4681,5252,4567,5024,149855,89540.0,8140000.0
2011-04-19,5046,5229,5001,5207,43042,92796.0,8140000.0
2011-04-20,5297,5982,5275,5892,282507,105006.0,8140000.0
2011-04-21,5890,6234,5412,5412,199114,96459.0,8140000.0
2011-04-22,5389,5594,4932,5595,154703,99715.0,8140000.0
2011-04-25,5617,5800,5434,5481,85839,97680.0,8140000.0
2011-04-26,5389,5549,5206,5366,85804,95645.0,8140000.0
2011-04-27,5343,5412,5092,5161,73587,91982.0,8140000.0
2011-04-28,5023,5275,5023,5184,47437,92389.0,8140000.0
2011-04-29,5138,5229,4864,4864,70629,86691.0,8140000.0
2011-05-02,4818,5023,4544,4681,100611,83435.0,8140000.0
2011-05-03,4704,4704,4462,4567,77642,81400.0,8140000.0
2011-05-04,4567,4864,4567,4727,61986,84249.0,8140000.0
2011-05-06,4795,4795,4498,4521,38024,80586.0,8140000.0
2011-05-09,4521,4841,4498,4549,35637,81074.0,8140000.0
2011-05-11,4658,4886,4548,4796,49113,85470.0,8140000.0
2011-05-12,4727,4886,4567,4613,42667,82214.0,8140000.0
2011-05-13,4590,4704,4521,4549,33286,81074.0,8140000.0
2011-05-16,4548,4553,4315,4394,75705,78307.0,8140000.0
2011-05-17,4452,4452,4293,4362,33141,77737.0,8140000.0
2011-05-18,4343,4452,4343,4426,18136,78877.0,8140000.0
2011-05-19,4457,4457,4247,4334,54103,77249.0,8140000.0
2011-05-20,4334,4370,4270,4334,15451,77249.0,8140000.0
2011-05-23,4366,4366,3685,4120,28031,73423.0,8140000.0
2011-05-24,4124,4224,4073,4211,17177,75051.0,8140000.0
2011-05-25,4247,4329,4110,4110,15371,73260.0,8140000.0
2011-05-26,4128,4183,4110,4156,10420,74074.0,8140000.0
2011-05-27,4201,4201,4064,4184,15250,74562.0,8140000.0
2011-05-30,4183,4270,4110,4193,21330,74725.0,8140000.0
2011-05-31,4156,4384,4137,4330,19891,77167.0,8140000.0
2011-06-01,4338,4375,4261,4348,3840,77493.0,8140000.0
2011-06-02,4247,4370,4105,4348,32670,77493.0,8140000.0
2011-06-03,4407,4407,4224,4343,6240,77411.0,8140000.0
2011-06-07,4288,4334,4192,4261,3060,75946.0,8140000.0
2011-06-08,4247,4379,4247,4375,11730,77981.0,8140000.0
2011-06-09,4375,5001,4338,4887,53540,87098.0,8140000.0
2011-06-10,4818,5001,4498,4499,51658,80179.0,8140000.0
2011-06-13,4430,4635,4306,4521,13528,80586.0,8140000.0
2011-06-14,4567,4635,4521,4526,13268,80667.0,8140000.0
2011-06-15,4521,4553,4411,4421,15700,78795.0,8140000.0
2011-06-16,4452,4452,4160,4316,18060,76923.0,8140000.0
2011-06-17,4256,4375,4238,4325,14490,77086.0,8140000.0
2011-06-20,4165,4421,4165,4243,20522,75621.0,8140000.0
2011-06-21,4229,4284,4073,4138,35378,73748.0,8140000.0
2011-06-22,4028,4590,4028,4499,33590,80179.0,8140000.0
2011-06-23,4494,4494,4366,4462,7540,79528.0,8140000.0
2011-06-24,4430,4544,4402,4499,12130,80179.0,8140000.0
2011-06-27,4498,4544,4352,4508,11050,80342.0,8140000.0
2011-06-28,4516,4548,4443,4517,9648,80505.0,8140000.0
2011-06-29,4544,4544,4384,4384,9830,78144.0,8140000.0
2011-06-30,4389,4407,4261,4384,21455,78144.0,8140000.0
2011-07-01,4384,4443,4361,4366,2794,77818.0,8140000.0
2011-07-04,4343,4352,4110,4138,73430,73748.0,8140000.0
2011-07-05,4183,4274,4156,4275,21491,76190.0,8140000.0
2011-07-06,4297,4297,4178,4266,13338,76028.0,8140000.0
2011-07-07,4178,4261,4110,4184,30190,74562.0,8140000.0
2011-07-08,4197,4238,4151,4193,8380,74725.0,8140000.0
2011-07-11,4160,4224,4105,4147,38810,73911.0,8140000.0
2011-07-12,4146,4188,4041,4115,23932,73341.0,8140000.0
2011-07-13,4083,4160,4055,4092,13777,72934.0,8140000.0
2011-07-14,4183,4183,4069,4110,2957,73260.0,8140000.0
2011-07-15,4073,4247,4023,4174,24674,74400.0,8140000.0
2011-07-18,4156,4201,4101,4193,11684,74725.0,8140000.0
2011-07-19,4210,4210,4142,4142,16296,73830.0,8140000.0
2011-07-20,4156,4192,4128,4156,15380,74074.0,8140000.0
2011-07-21,4188,4188,4124,4129,7000,73586.0,8140000.0
2011-07-22,4156,4201,4115,4138,18832,73748.0,8140000.0
2011-07-25,4174,4174,4005,4037,22577,71958.0,8140000.0
2011-07-26,4019,4064,3946,3973,30473,70818.0,8140000.0
2011-07-27,3968,4019,3918,4001,16303,71306.0,8140000.0
2011-07-28,3987,4023,3927,4010,14246,71469.0,8140000.0
2011-07-29,4041,4146,3978,4110,18182,73260.0,8140000.0
2011-08-01,4201,4201,4019,4133,10665,73667.0,8140000.0
2011-08-02,4124,4124,3996,4060,10155,72365.0,8140000.0
2011-08-03,4060,4060,3900,3964,12445,70655.0,8140000.0
2011-08-04,3996,4014,3754,3905,11112,69597.0,8140000.0
2011-08-05,3863,3863,3562,3594,57543,64062.0,8140000.0
2011-08-08,3384,3553,3073,3220,73662,57387.0,8140000.0
2011-08-09,3142,3516,2831,3380,40172,60236.0,8140000.0
2011-08-10,3534,3562,3334,3357,23200,59829.0,8140000.0
2011-08-11,3105,3425,3105,3371,13101,60073.0,8140000.0
2011-08-12,3471,3644,3425,3453,14449,61538.0,8140000.0
2011-08-16,3493,3786,3493,3786,8910,67481.0,8140000.0
2011-08-17,3781,4156,3781,4115,30352,73341.0,8140000.0
2011-08-18,4110,4110,3882,3996,16750,71225.0,8140000.0
2011-08-19,3681,3955,3681,3836,23530,68376.0,8140000.0
2011-08-22,3786,3923,3781,3836,8710,68376.0,8140000.0
2011-08-23,3763,3959,3749,3905,12222,69597.0,8140000.0
2011-08-24,3996,3996,3854,3882,5050,69190.0,8140000.0
2011-08-25,3973,3973,3722,3763,8370,67074.0,8140000.0
2011-08-26,3763,3822,3713,3782,2450,67399.0,8140000.0
2011-08-29,3786,4028,3781,3878,33530,69109.0,8140000.0
2011-08-30,3886,4019,3859,3905,11542,69597.0,8140000.0
2011-08-31,3996,3996,3877,3992,12700,71144.0,8140000.0
2011-09-01,4110,4110,3964,3992,17036,71144.0,8140000.0
2011-09-02,3973,4590,3886,4590,191749,81807.0,8140000.0
2011-09-05,4548,4795,4279,4307,87000,76760.0,8140000.0
2011-09-06,4252,4407,4087,4234,30281,75458.0,8140000.0
2011-09-07,4302,4425,4156,4156,13356,74074.0,8140000.0
2011-09-08,4169,4315,4060,4129,22120,73586.0,8140000.0
2011-09-09,4284,4284,4064,4133,4670,73667.0,8140000.0
2011-09-14,4133,4197,3914,3923,9963,69923.0,8140000.0
2011-09-15,4060,4064,3790,3795,12832,67643.0,8140000.0
2011-09-16,3795,4019,3795,3868,8564,68946.0,8140000.0
2011-09-19,3790,3964,3790,3804,8500,67806.0,8140000.0
2011-09-20,3790,3845,3767,3823,2200,68132.0,8140000.0
2011-09-21,3882,3882,3699,3850,8360,68620.0,8140000.0
2011-09-22,3840,3863,3721,3850,7330,68620.0,8140000.0
2011-09-23,3612,3831,3612,3772,21100,67236.0,8140000.0
2011-09-26,3653,3836,3315,3425,35740,61050.0,8140000.0
2011-09-27,3516,3576,3425,3553,32113,63329.0,8140000.0
2011-09-28,3471,3653,3471,3517,5230,62678.0,8140000.0
2011-09-29,3434,3562,3429,3466,11570,61783.0,8140000.0
2011-09-30,3388,3566,3388,3540,14264,63085.0,8140000.0
2011-10-04,3338,3402,3251,3316,9279,59096.0,8140000.0
2011-10-05,3334,3420,3224,3320,10050,59178.0,8140000.0
2011-10-06,3379,3466,3334,3371,10410,60073.0,8140000.0
2011-10-07,3379,3653,3292,3512,12080,62597.0,8140000.0
2011-10-10,3503,3603,3420,3448,10930,61457.0,8140000.0
2011-10-11,3580,3580,3448,3535,13660,63004.0,8140000.0
2011-10-12,3534,3644,3452,3599,7210,64143.0,8140000.0
2011-10-13,3539,3653,3516,3594,3218,64062.0,8140000.0
2011-10-14,3534,3571,3397,3494,5762,62271.0,8140000.0
2011-10-17,3493,3557,3439,3489,4545,62190.0,8140000.0
2011-10-18,3407,3475,3407,3462,3900,61701.0,8140000.0
2011-10-19,3429,3507,3425,3485,514,62108.0,8140000.0
2011-10-20,3484,3544,3429,3471,14000,61864.0,8140000.0
2011-10-21,3608,3608,3434,3457,6100,61620.0,8140000.0
2011-10-24,3562,3562,3429,3498,8252,62352.0,8140000.0
2011-10-25,3498,3745,3489,3494,13620,62271.0,8140000.0
2011-10-26,3425,3498,3416,3480,9660,62027.0,8140000.0
2011-10-27,3434,3598,3434,3549,5781,63248.0,8140000.0
2011-10-28,3608,3644,3539,3594,9610,64062.0,8140000.0
2011-10-31,3740,3740,3566,3567,2611,63573.0,8140000.0
2011-11-01,3640,3672,3516,3540,4542,63085.0,8140000.0
