삼양사(145990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-12-05,79700,85000,67900,68000,70535,289809.0,4261893.0
2011-12-06,67200,71400,60300,65000,120095,277023.0,4261893.0
2011-12-07,65700,67200,62500,62800,83254,267647.0,4261893.0
2011-12-08,63200,72000,61200,62500,180936,266368.0,4261893.0
2011-12-09,62400,62400,56800,57300,143022,244206.0,4261893.0
2011-12-12,58400,59000,55100,56600,65944,241223.0,4261893.0
2011-12-13,55500,57300,53900,53900,74406,229716.0,4261893.0
2011-12-14,54200,54400,50500,52500,115164,223749.0,4261893.0
2011-12-15,50500,59500,50500,57100,227266,243354.0,4261893.0
2011-12-16,58800,59900,56000,57100,84584,243354.0,4261893.0
2011-12-19,58100,58100,50200,52900,47406,225454.0,4261893.0
2011-12-20,52300,54800,52300,53900,31720,229716.0,4261893.0
2011-12-21,54900,55400,52900,53000,64245,225880.0,4261893.0
2011-12-22,52600,53400,51300,52200,37461,222471.0,4261893.0
2011-12-23,52500,53500,52200,52600,32096,224176.0,4261893.0
2011-12-26,53200,53200,51200,52000,23624,221618.0,4261893.0
2011-12-27,52000,52000,49900,50300,32895,214373.0,4261893.0
2011-12-28,49900,50000,47600,48000,56841,204571.0,4261893.0
2011-12-29,48050,50400,48000,48500,37786,206702.0,4261893.0
2012-01-02,49000,49400,48100,48850,16350,208193.0,4261893.0
2012-01-03,49900,49900,48550,49150,12371,209472.0,4261893.0
2012-01-04,49300,49800,48950,49650,19038,211603.0,4261893.0
2012-01-05,49900,49950,49000,49300,20510,210111.0,4261893.0
2012-01-06,49400,51200,48350,51000,24414,217357.0,4261893.0
2012-01-09,51300,51800,50300,50600,12551,215652.0,4261893.0
2012-01-10,50900,51300,50300,51200,11791,218209.0,4261893.0
2012-01-11,51400,51900,50300,50300,16499,214373.0,4261893.0
2012-01-12,50700,50900,49200,49200,24024,209685.0,4261893.0
2012-01-13,49200,50100,49200,49300,10221,210111.0,4261893.0
2012-01-16,49000,49000,48500,48700,9791,207554.0,4261893.0
2012-01-17,49350,49350,48150,48500,10984,206702.0,4261893.0
2012-01-18,49000,49000,48200,48200,19725,205423.0,4261893.0
2012-01-19,48200,48600,47800,48300,20828,205849.0,4261893.0
2012-01-20,48300,48300,47400,47400,26071,202014.0,4261893.0
2012-01-25,47300,47900,47200,47350,25490,201801.0,4261893.0
2012-01-26,47350,47600,47150,47200,19754,201161.0,4261893.0
2012-01-27,47250,47750,47150,47400,17045,202014.0,4261893.0
2012-01-30,47800,49900,47300,49200,35949,209685.0,4261893.0
2012-01-31,49000,51900,48500,51500,82639,219487.0,4261893.0
2012-02-01,51500,52800,51000,51100,49301,217783.0,4261893.0
2012-02-02,51300,52700,50400,52400,36079,223323.0,4261893.0
2012-02-03,52600,54100,52000,52800,51229,225028.0,4261893.0
2012-02-06,52800,52900,51400,51600,13370,219914.0,4261893.0
2012-02-07,51500,51600,50500,51100,19468,217783.0,4261893.0
2012-02-08,51200,53700,50700,53700,38126,228864.0,4261893.0
2012-02-09,54200,55200,52900,55100,43366,234830.0,4261893.0
2012-02-10,55700,55900,52500,54400,18447,231847.0,4261893.0
2012-02-13,54700,55800,53000,55400,21277,236109.0,4261893.0
2012-02-14,55600,55600,54400,54400,20148,231847.0,4261893.0
2012-02-15,54100,54500,53500,54000,15934,230142.0,4261893.0
2012-02-16,54000,54000,52500,52600,13660,224176.0,4261893.0
2012-02-17,53000,53200,51500,51600,30073,219914.0,4261893.0
2012-02-20,51200,52300,50400,50500,27491,215226.0,4261893.0
2012-02-21,50800,51300,50200,50700,6909,216078.0,4261893.0
2012-02-22,51400,51500,49650,51500,9417,219487.0,4261893.0
2012-02-23,50600,51400,50100,50500,12647,215226.0,4261893.0
2012-02-24,50600,51600,49900,50900,15009,216930.0,4261893.0
2012-02-27,50900,50900,49250,49850,10866,212455.0,4261893.0
2012-02-28,50000,50000,48650,48750,8087,207767.0,4261893.0
2012-02-29,49400,49400,48550,48650,8159,207341.0,4261893.0
2012-03-02,49400,49550,48750,49300,6095,210111.0,4261893.0
2012-03-05,49300,49750,48000,48200,16049,205423.0,4261893.0
2012-03-06,47950,48500,47650,48400,4889,206276.0,4261893.0
2012-03-07,47600,47800,47350,47400,12170,202014.0,4261893.0
2012-03-08,47350,47650,47000,47000,14488,200309.0,4261893.0
2012-03-09,47100,47600,46050,47550,19746,202653.0,4261893.0
2012-03-12,47600,48850,47600,48150,6377,205210.0,4261893.0
2012-03-13,48100,49050,47800,48450,11843,206489.0,4261893.0
2012-03-14,48900,49000,48350,48850,7818,208193.0,4261893.0
2012-03-15,48400,48850,48250,48400,6268,206276.0,4261893.0
2012-03-16,48400,48750,47700,47700,5254,203292.0,4261893.0
2012-03-19,47750,48900,47500,48900,6376,208407.0,4261893.0
2012-03-20,48600,49150,48300,48750,5637,207767.0,4261893.0
2012-03-21,47200,49100,47200,48150,3558,205210.0,4261893.0
2012-03-22,48050,48300,47650,47650,6090,203079.0,4261893.0
2012-03-23,47550,48100,47550,48000,5369,204571.0,4261893.0
2012-03-26,48500,48500,48000,48050,4517,204784.0,4261893.0
2012-03-27,48200,48300,47150,47550,3903,202653.0,4261893.0
2012-03-28,47200,47550,46250,46350,10509,197539.0,4261893.0
2012-03-29,46050,46050,44250,45250,19733,192851.0,4261893.0
2012-03-30,45300,45950,44800,45950,8563,195834.0,4261893.0
2012-04-02,45950,45950,45200,45450,3642,193703.0,4261893.0
2012-04-03,45450,45950,45100,45250,4473,192851.0,4261893.0
2012-04-04,44500,45250,43900,43950,9809,187310.0,4261893.0
2012-04-05,43550,44300,42600,43350,10387,184753.0,4261893.0
2012-04-06,43350,43400,42750,43100,5685,183688.0,4261893.0
2012-04-09,42700,43400,42300,42850,5801,182622.0,4261893.0
2012-04-10,43000,43500,42400,43500,7327,185392.0,4261893.0
2012-04-12,43500,43800,42100,43600,7109,185819.0,4261893.0
2012-04-13,43800,44000,43350,43400,1699,184966.0,4261893.0
2012-04-16,43400,43650,43300,43500,874,185392.0,4261893.0
2012-04-17,43500,43700,43200,43650,1481,186032.0,4261893.0
2012-04-18,44000,44000,43550,43850,1232,186884.0,4261893.0
2012-04-19,43600,43850,43450,43750,1406,186458.0,4261893.0
2012-04-20,43750,43800,43100,43700,2181,186245.0,4261893.0
2012-04-23,43750,43850,43500,43500,3325,185392.0,4261893.0
2012-04-24,43300,43750,43000,43500,3054,185392.0,4261893.0
2012-04-25,43500,43800,43450,43450,3496,185179.0,4261893.0
