한국타이어앤테크놀로지(161390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-10-04,52000,52300,47300,48600,4496906,6020328.0,123875069.0
2012-10-05,49300,49900,47700,47800,2391611,5921228.0,123875069.0
2012-10-08,48250,49900,48050,49750,1557787,6162785.0,123875069.0
2012-10-09,49200,50500,49000,49950,822201,6187560.0,123875069.0
2012-10-10,49700,50700,49200,49750,965577,6162785.0,123875069.0
2012-10-11,49550,50500,49250,50400,516997,6243303.0,123875069.0
2012-10-12,49750,50400,49450,49600,741488,6144203.0,123875069.0
2012-10-15,49600,49700,47750,47950,875296,5939810.0,123875069.0
2012-10-16,48700,48700,46850,47900,493754,5933616.0,123875069.0
2012-10-17,47700,48200,46350,46800,842483,5797353.0,123875069.0
2012-10-18,47200,48300,47000,48300,588785,5983166.0,123875069.0
2012-10-19,48200,48700,47750,48500,438330,6007941.0,123875069.0
2012-10-22,47550,48350,47400,48050,299361,5952197.0,123875069.0
2012-10-23,47700,48100,47200,47600,385508,5896453.0,123875069.0
2012-10-24,47150,47200,44800,46600,962945,5772578.0,123875069.0
2012-10-25,46000,48350,45400,48300,604083,5983166.0,123875069.0
2012-10-26,47750,48100,46200,46700,405308,5784966.0,123875069.0
2012-10-29,46350,46800,43500,43900,662143,5438116.0,123875069.0
2012-10-30,43200,45700,43200,45000,575886,5574378.0,123875069.0
2012-10-31,45400,46400,45100,46000,286488,5698253.0,123875069.0
2012-11-01,46000,46800,43800,44150,596621,5469084.0,123875069.0
2012-11-02,45000,46450,44700,44950,646045,5568184.0,123875069.0
2012-11-05,44000,44300,42200,43350,866801,5369984.0,123875069.0
2012-11-06,43500,45450,42800,45100,464032,5586766.0,123875069.0
2012-11-07,45200,45400,44000,44350,290460,5493859.0,123875069.0
2012-11-08,43550,44850,43550,44850,307943,5555797.0,123875069.0
2012-11-09,44000,44200,42900,43400,655681,5376178.0,123875069.0
2012-11-12,43000,43200,42200,42350,437225,5246109.0,123875069.0
2012-11-13,42100,42750,40850,41150,639244,5097459.0,123875069.0
2012-11-14,41050,41450,39700,40100,898552,4967390.0,123875069.0
2012-11-15,39450,41950,39300,41950,560772,5196559.0,123875069.0
2012-11-16,41350,42900,41350,42700,439196,5289465.0,123875069.0
2012-11-19,42450,42800,41350,41600,415477,5153203.0,123875069.0
2012-11-20,42200,42750,41800,42000,311443,5202753.0,123875069.0
2012-11-21,41700,42600,40900,41450,313301,5134622.0,123875069.0
2012-11-22,41250,41600,41100,41100,397372,5091265.0,123875069.0
2012-11-23,41100,43400,41050,43400,430677,5376178.0,123875069.0
2012-11-26,43550,44350,42550,43650,294541,5407147.0,123875069.0
2012-11-27,44150,44650,43100,44650,309203,5531022.0,123875069.0
2012-11-28,44000,44650,43150,44550,351639,5518634.0,123875069.0
2012-11-29,44900,46400,44600,46400,638253,5747803.0,123875069.0
2012-11-30,46500,46500,44500,45850,559996,5679672.0,123875069.0
2012-12-03,45350,46000,44850,45700,225477,5661091.0,123875069.0
2012-12-04,45600,46100,45000,45600,306856,5648703.0,123875069.0
