동일고무벨트(163560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-10-19,8156,9370,8156,9373,207974,124140.0,10701726.0
2012-10-22,9370,9692,8077,8119,1290572,107552.0,10701726.0
2012-10-23,8117,8562,7373,7457,746142,98777.0,10701726.0
2012-10-24,7398,7737,7107,7176,249469,95031.0,10701726.0
2012-10-25,7260,7445,6978,7077,189589,93747.0,10701726.0
2012-10-26,7075,7213,6582,6593,168343,87326.0,10701726.0
2012-10-29,6557,6655,5814,5818,215444,77052.0,10701726.0
2012-10-30,5814,6688,5814,6689,322828,88610.0,10701726.0
2012-10-31,6921,7203,6380,6384,453417,84544.0,10701726.0
2012-11-01,6501,6720,6179,6658,170340,88182.0,10701726.0
2012-11-02,6783,6896,6501,6585,121278,87219.0,10701726.0
2012-11-05,6501,6616,6460,6544,131286,86684.0,10701726.0
2012-11-06,6655,6655,6493,6497,54630,86042.0,10701726.0
2012-11-07,6493,6905,6493,6739,185237,89252.0,10701726.0
2012-11-08,6621,6824,6518,6755,101838,89466.0,10701726.0
2012-11-09,6881,7761,6727,6731,1488952,89145.0,10701726.0
2012-11-12,6751,6824,6616,6658,172309,88182.0,10701726.0
2012-11-13,6655,6727,6179,6269,131672,83045.0,10701726.0
2012-11-14,6146,6387,6105,6302,81078,83473.0,10701726.0
2012-11-15,6194,6282,5928,6019,60195,79728.0,10701726.0
2012-11-16,5934,6162,5734,5786,65166,76624.0,10701726.0
2012-11-19,5814,5934,5734,5818,39471,77052.0,10701726.0
2012-11-20,5863,6096,5863,5938,43454,78658.0,10701726.0
2012-11-21,5944,6016,5749,5800,46755,76838.0,10701726.0
2012-11-22,5799,5904,5775,5786,32649,76624.0,10701726.0
2012-11-23,5977,6445,5895,6068,345185,80370.0,10701726.0
2012-11-26,6291,6930,6291,6666,552764,88289.0,10701726.0
2012-11-27,6671,6671,6146,6254,171334,82831.0,10701726.0
2012-11-28,6251,6301,6138,6157,44355,81547.0,10701726.0
2012-11-29,6025,6268,6025,6060,96869,80263.0,10701726.0
2012-11-30,6057,6152,6057,6060,36441,80263.0,10701726.0
2012-12-03,6121,6121,5953,6012,57991,79621.0,10701726.0
2012-12-04,6121,6138,5992,6060,65399,80263.0,10701726.0
2012-12-05,6057,6064,5977,5987,76788,79300.0,10701726.0
2012-12-06,5977,6025,5967,5996,46138,79407.0,10701726.0
2012-12-07,5983,6025,5977,5987,29084,79300.0,10701726.0
2012-12-10,6000,6040,6000,6019,26600,79728.0,10701726.0
2012-12-11,6050,6050,6016,6036,30479,79942.0,10701726.0
2012-12-12,6008,6032,5992,6003,27369,79514.0,10701726.0
2012-12-13,5983,6050,5977,6012,25525,79621.0,10701726.0
2012-12-14,6008,6040,5983,6036,23986,79942.0,10701726.0
2012-12-17,6016,6354,6016,6278,70098,83152.0,10701726.0
2012-12-18,6380,6621,6301,6440,126081,85293.0,10701726.0
2012-12-20,7189,7213,6460,6465,186407,85614.0,10701726.0
2012-12-21,6380,6541,6218,6472,104779,85721.0,10701726.0
2012-12-24,6541,6913,6477,6771,133498,89680.0,10701726.0
2012-12-26,6768,6849,6639,6852,85768,90751.0,10701726.0
2012-12-27,6790,6883,6682,6751,29188,86256.0,10701726.0
2012-12-28,6740,6781,6649,6760,24990,86363.0,10701726.0
2013-01-02,6748,7119,6748,6835,69572,87326.0,10701726.0
2013-01-03,6924,7033,6832,6869,54550,87754.0,10701726.0
2013-01-04,6874,7654,6697,7321,265704,93533.0,10701726.0
2013-01-07,7058,7085,6891,6951,128056,88824.0,10701726.0
2013-01-08,7050,7050,6832,6852,53991,87540.0,10701726.0
2013-01-09,6807,6908,6799,6801,46750,86898.0,10701726.0
2013-01-10,6774,6857,6723,6794,33828,86791.0,10701726.0
2013-01-11,6790,6840,6732,6767,44731,86470.0,10701726.0
2013-01-14,6781,6781,6656,6702,30922,85614.0,10701726.0
2013-01-15,6815,6815,6530,6660,40684,85079.0,10701726.0
2013-01-16,6732,6732,6573,6592,34145,84223.0,10701726.0
2013-01-17,6548,6649,6488,6567,34393,83902.0,10701726.0
2013-01-18,6540,6622,6530,6575,14647,84009.0,10701726.0
2013-01-21,6573,6656,6540,6575,18415,84009.0,10701726.0
2013-01-22,6548,6616,6397,6433,29912,82189.0,10701726.0
2013-01-23,6448,6488,6372,6449,35855,82403.0,10701726.0
2013-01-24,6448,6573,6405,6441,23323,82296.0,10701726.0
2013-01-25,6448,6530,6387,6516,22230,83259.0,10701726.0
2013-01-28,6540,6540,6387,6483,15550,82831.0,10701726.0
2013-01-29,6481,6573,6380,6516,20488,83259.0,10701726.0
2013-01-30,6463,6522,6438,6449,14997,82403.0,10701726.0
2013-01-31,6448,6514,6339,6341,21233,81012.0,10701726.0
2013-02-01,6321,6353,6203,6215,30034,79407.0,10701726.0
2013-02-04,6221,6305,6187,6207,14472,79300.0,10701726.0
2013-02-05,6213,6213,6120,6123,13962,78230.0,10701726.0
2013-02-06,6061,6195,6061,6172,13160,78872.0,10701726.0
2013-02-07,6170,6187,6129,6132,9938,78337.0,10701726.0
2013-02-08,6195,6195,6120,6182,11082,78979.0,10701726.0
2013-02-12,6195,6430,6179,6366,23842,81333.0,10701726.0
2013-02-13,6380,6548,6380,6508,25500,83152.0,10701726.0
2013-02-14,6522,6530,6455,6525,5621,83366.0,10701726.0
2013-02-15,6548,6581,6463,6541,9071,83580.0,10701726.0
2013-02-18,6372,6530,6372,6399,29208,81761.0,10701726.0
2013-02-19,6397,6405,6278,6349,27278,81119.0,10701726.0
2013-02-20,6405,6422,6321,6424,20985,82082.0,10701726.0
2013-02-21,6422,6422,6321,6325,24590,80798.0,10701726.0
2013-02-22,6321,6380,6253,6366,17850,81333.0,10701726.0
2013-02-25,6380,6380,6263,6332,16108,80905.0,10701726.0
2013-02-26,6287,6339,6229,6233,23167,79621.0,10701726.0
2013-02-27,6195,6305,6195,6240,23952,79728.0,10701726.0
2013-02-28,6253,6312,6162,6283,40407,80263.0,10701726.0
2013-03-04,6297,6297,6213,6215,21434,79407.0,10701726.0
2013-03-05,6170,6237,6170,6223,19090,79514.0,10701726.0
2013-03-06,6237,6297,6187,6223,11283,79514.0,10701726.0
2013-03-07,6263,6263,6179,6240,13307,79728.0,10701726.0
2013-03-08,6195,6271,6129,6199,7532,79193.0,10701726.0
2013-03-11,6229,6229,6036,6172,21393,78872.0,10701726.0
2013-03-12,6195,6195,6061,6199,11518,79193.0,10701726.0
2013-03-13,6213,6213,6129,6157,11872,78658.0,10701726.0
2013-03-14,6213,6213,6113,6132,16701,78337.0,10701726.0
2013-03-15,6195,6287,6129,6283,20063,80263.0,10701726.0
2013-03-18,6287,6405,6229,6283,52313,80263.0,10701726.0
2013-03-19,6263,6305,6195,6257,24705,79942.0,10701726.0
2013-03-20,6221,6278,6162,6182,18736,78979.0,10701726.0
2013-03-21,6137,6229,6137,6157,22172,78658.0,10701726.0
2013-03-22,6146,6179,6113,6114,18382,78123.0,10701726.0
2013-03-25,6162,6237,6094,6207,17819,79300.0,10701726.0
2013-03-26,6170,6179,6129,6157,14527,78658.0,10701726.0
2013-03-27,6162,6213,6137,6157,14533,78658.0,10701726.0
2013-03-28,6170,6187,6120,6172,9580,78872.0,10701726.0
2013-03-29,6152,6179,6113,6166,14228,78765.0,10701726.0
2013-04-01,6152,6278,6152,6283,34567,80263.0,10701726.0
2013-04-02,6305,6312,6221,6265,16788,80049.0,10701726.0
2013-04-03,6271,6271,6137,6215,11194,79407.0,10701726.0
2013-04-04,6221,6221,6011,6106,34287,78016.0,10701726.0
2013-04-05,6104,6104,5918,6006,33674,76731.0,10701726.0
2013-04-08,6061,6094,5953,5965,8885,76196.0,10701726.0
2013-04-09,5911,5986,5844,5856,14444,74805.0,10701726.0
2013-04-10,5827,5884,5794,5864,13715,74912.0,10701726.0
2013-04-11,5884,5960,5844,5904,9195,75447.0,10701726.0
2013-04-12,5904,5995,5836,5931,17462,75768.0,10701726.0
2013-04-15,5928,5928,5794,5856,7120,74805.0,10701726.0
2013-04-16,5744,5860,5744,5847,6282,74698.0,10701726.0
2013-04-17,5918,5918,5810,5897,9931,75340.0,10701726.0
2013-04-18,5836,5918,5836,5890,8618,75233.0,10701726.0
2013-04-19,5860,5860,5769,5796,12747,74056.0,10701726.0
2013-04-22,5802,5918,5794,5814,23591,77034.0,11100000.0
2013-04-23,5860,5878,5802,5847,10863,77478.0,11100000.0
2013-04-24,5827,6195,5827,6106,60380,80919.0,11100000.0
2013-04-25,6195,6505,6152,6341,204862,84027.0,11100000.0
2013-04-26,6363,6430,6278,6298,74405,83472.0,11100000.0
2013-04-29,6247,6321,6195,6265,24730,83028.0,11100000.0
2013-04-30,6213,6339,6213,6265,30445,83028.0,11100000.0
2013-05-02,6263,6606,6253,6508,182558,86247.0,11100000.0
2013-05-03,6616,6682,6413,6575,54900,87135.0,11100000.0
2013-05-06,6664,6664,6455,6541,100731,86691.0,11100000.0
2013-05-07,6497,6630,6488,6575,54608,87135.0,11100000.0
2013-05-08,6573,6781,6363,6575,112233,87135.0,11100000.0
2013-05-09,6573,6649,6488,6583,46500,87246.0,11100000.0
2013-05-10,6530,6690,6514,6575,42748,87135.0,11100000.0
2013-05-13,6573,6573,6505,6534,18997,86580.0,11100000.0
2013-05-14,6530,6640,6522,6608,26570,87579.0,11100000.0
2013-05-15,6530,6649,6530,6608,35646,87579.0,11100000.0
2013-05-16,6706,7418,6706,7095,453782,94017.0,11100000.0
2013-05-20,7284,7352,7143,7229,75382,95793.0,11100000.0
2013-05-21,7209,7410,7159,7396,104890,98013.0,11100000.0
2013-05-22,7335,7410,7251,7287,103303,96570.0,11100000.0
2013-05-23,7267,7342,7167,7186,71705,95238.0,11100000.0
2013-05-24,7175,7260,7151,7204,45907,95460.0,11100000.0
2013-05-27,7151,7452,7151,7346,43587,97347.0,11100000.0
2013-05-28,7476,7476,7260,7279,23589,96459.0,11100000.0
2013-05-29,7277,7386,7125,7329,52218,97125.0,11100000.0
2013-05-30,7402,7402,7217,7245,41304,96015.0,11100000.0
2013-05-31,7327,7368,7159,7186,35371,95238.0,11100000.0
2013-06-03,7159,7251,6999,7044,53200,93351.0,11100000.0
2013-06-04,7091,7091,6866,7044,52446,93351.0,11100000.0
2013-06-05,7075,7091,6740,6902,22290,91464.0,11100000.0
2013-06-07,6799,6983,6590,6616,39420,87690.0,11100000.0
2013-06-10,6622,6723,6622,6650,19419,88134.0,11100000.0
2013-06-11,6656,6790,6555,6692,48028,88689.0,11100000.0
2013-06-12,6649,6823,6606,6827,39931,90465.0,11100000.0
2013-06-13,6815,6815,6664,6702,35970,88800.0,11100000.0
2013-06-14,6732,6766,6540,6541,39080,86691.0,11100000.0
2013-06-17,6656,6656,6380,6407,41063,84915.0,11100000.0
2013-06-18,6372,6497,6305,6449,46802,85470.0,11100000.0
2013-06-19,6455,6555,6422,6534,27370,86580.0,11100000.0
2013-06-20,6405,6522,6278,6407,22962,84915.0,11100000.0
2013-06-21,6363,6548,6321,6458,34396,85581.0,11100000.0
2013-06-24,6488,6540,6448,6458,11080,85581.0,11100000.0
2013-06-25,6455,6455,6054,6199,93523,82140.0,11100000.0
2013-06-26,6353,6481,6195,6366,37158,84360.0,11100000.0
2013-06-27,6548,6640,6372,6641,52209,88023.0,11100000.0
2013-06-28,6740,6815,6716,6794,64060,90021.0,11100000.0
2013-07-01,6866,6866,6766,6801,19869,90132.0,11100000.0
2013-07-02,6790,6807,6706,6801,14686,90132.0,11100000.0
2013-07-03,6866,6866,6630,6767,11536,89688.0,11100000.0
