쿠쿠홀딩스(192400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-08-06,139090,159954,132522,159955,870855,2029296.0,9803360.0
2014-08-07,167681,183909,164204,183909,459284,2333200.0,9803360.0
2014-08-08,188931,207863,168068,168455,475809,2137132.0,9803360.0
2014-08-11,171159,180818,162659,171545,263452,2176346.0,9803360.0
2014-08-12,176954,180045,167681,168455,88334,2137132.0,9803360.0
2014-08-13,166522,168840,159568,159955,110124,2029296.0,9803360.0
2014-08-14,159954,166136,154931,157250,83459,1994984.0,9803360.0
2014-08-18,157250,173863,153772,169614,116111,2151838.0,9803360.0
2014-08-19,168454,173863,165363,165750,96381,2102821.0,9803360.0
2014-08-20,165750,166909,158022,158023,48703,2004787.0,9803360.0
2014-08-21,153772,154545,144500,147205,146725,1867540.0,9803360.0
2014-08-22,147590,147977,140249,143727,63269,1823425.0,9803360.0
2014-08-25,143727,145272,137545,137932,68452,1749900.0,9803360.0
2014-08-26,139090,149136,139090,143727,152948,1823425.0,9803360.0
2014-08-27,145272,150295,137545,146432,85169,1857737.0,9803360.0
2014-08-28,147977,161500,146045,156091,118616,1980279.0,9803360.0
2014-08-29,156477,157636,149136,151068,34690,1916557.0,9803360.0
2014-09-01,154159,158409,151454,151455,29302,1921459.0,9803360.0
2014-09-02,153772,157636,151840,153386,38303,1945967.0,9803360.0
2014-09-03,154159,160727,154159,154932,49328,1965574.0,9803360.0
2014-09-04,157636,158409,143727,144500,79712,1833228.0,9803360.0
2014-09-05,135227,142954,135227,142955,614245,1813622.0,9803360.0
2014-09-11,141409,141795,138704,139864,126206,1774408.0,9803360.0
2014-09-12,139863,139863,134068,137159,87441,1740096.0,9803360.0
2014-09-15,140250,142181,137931,141409,92018,1794015.0,9803360.0
2014-09-16,140636,149909,136772,148364,147667,1882245.0,9803360.0
2014-09-17,149909,153772,148363,153000,106877,1941065.0,9803360.0
2014-09-18,153000,154931,150681,153000,58168,1941065.0,9803360.0
2014-09-19,154545,163045,152227,153000,125070,1941065.0,9803360.0
2014-09-22,153000,154545,148363,151841,43796,1926360.0,9803360.0
2014-09-23,151454,158022,150295,157250,65244,1994984.0,9803360.0
2014-09-24,156477,163431,154931,163045,71164,2068509.0,9803360.0
2014-09-25,164204,165363,160727,161114,55845,2044001.0,9803360.0
2014-09-26,158409,166136,158409,163432,47894,2073411.0,9803360.0
2014-09-29,164977,172318,162659,168068,91791,2132231.0,9803360.0
2014-09-30,168840,170386,164204,166523,45267,2112624.0,9803360.0
2014-10-01,166909,170000,164590,166136,45885,2107722.0,9803360.0
2014-10-02,164977,173090,163431,171545,40405,2176346.0,9803360.0
2014-10-06,173090,181590,170000,170773,95593,2166543.0,9803360.0
2014-10-07,172704,172704,163045,171932,35532,2181248.0,9803360.0
2014-10-08,170386,171159,166909,166909,32808,2117526.0,9803360.0
2014-10-10,165363,166909,152227,158409,69965,2009689.0,9803360.0
2014-10-13,158409,160340,152227,156477,46530,1985180.0,9803360.0
2014-10-14,156090,158022,152227,153773,29024,1950869.0,9803360.0
2014-10-15,153772,159181,148750,158409,42274,2009689.0,9803360.0
2014-10-16,155318,164977,154159,163045,29578,2068509.0,9803360.0
2014-10-17,166522,166522,159954,163432,25265,2073411.0,9803360.0
2014-10-20,165363,170386,164590,166909,39796,2117526.0,9803360.0
2014-10-21,170000,170772,166136,170000,20996,2156739.0,9803360.0
2014-10-22,171545,179272,168068,178886,40589,2269478.0,9803360.0
2014-10-23,178500,184681,171931,173477,48739,2200854.0,9803360.0
2014-10-24,176568,183522,167295,173477,56120,2200854.0,9803360.0
2014-10-27,172704,174636,167295,168455,22510,2137132.0,9803360.0
2014-10-28,173477,179659,169227,179659,40564,2279281.0,9803360.0
2014-10-29,179659,181204,174250,175023,24846,2220461.0,9803360.0
2014-10-30,173477,179272,168454,173477,36852,2200854.0,9803360.0
2014-10-31,175022,175409,167681,169614,21934,2151838.0,9803360.0
2014-11-03,170386,173090,164204,172705,25265,2191051.0,9803360.0
2014-11-04,172704,172704,163818,168068,31820,2132231.0,9803360.0
2014-11-05,164977,168454,154159,156477,107001,1985180.0,9803360.0
2014-11-06,156863,158409,152613,153773,39235,1950869.0,9803360.0
2014-11-07,153000,156863,153000,154545,22002,1960672.0,9803360.0
2014-11-10,155318,156477,145272,145273,105735,1843032.0,9803360.0
2014-11-11,147590,164977,147590,154545,195242,1960672.0,9803360.0
2014-11-12,157250,157250,151454,152614,40681,1936164.0,9803360.0
2014-11-13,151454,153772,147590,147977,45805,1877343.0,9803360.0
2014-11-14,148750,150295,142954,143727,47543,1823425.0,9803360.0
2014-11-17,145272,147204,144113,144114,28479,1828327.0,9803360.0
2014-11-18,144113,147977,144113,145659,18336,1847933.0,9803360.0
2014-11-19,145659,153000,145659,151455,28039,1921459.0,9803360.0
2014-11-20,153000,153386,146818,148364,29433,1882245.0,9803360.0
2014-11-21,150295,151454,148363,149136,15177,1892048.0,9803360.0
2014-11-24,151068,153772,145659,146818,38050,1862638.0,9803360.0
2014-11-25,147204,153772,144113,153000,42560,1941065.0,9803360.0
2014-11-26,152613,161113,152613,161114,59368,2044001.0,9803360.0
2014-11-27,161113,163818,156477,162273,46915,2058706.0,9803360.0
2014-11-28,156863,156863,146045,153000,139984,1941065.0,9803360.0
2014-12-01,152613,153000,148750,153000,45507,1941065.0,9803360.0
2014-12-02,154159,156863,153386,156477,44407,1985180.0,9803360.0
2014-12-03,156477,156863,152227,156091,30297,1980279.0,9803360.0
2014-12-04,156863,163818,156863,162659,50076,2063607.0,9803360.0
2014-12-05,161113,162272,158022,159955,17187,2029296.0,9803360.0
2014-12-08,161113,161500,153386,156091,26868,1980279.0,9803360.0
2014-12-09,156863,157636,151068,151068,24604,1916557.0,9803360.0
2014-12-10,152613,154159,147590,148750,16884,1887147.0,9803360.0
2014-12-11,148750,152227,147977,151455,27745,1921459.0,9803360.0
2014-12-12,151454,152613,146818,151841,26511,1926360.0,9803360.0
2014-12-15,147977,150295,147977,149136,18289,1892048.0,9803360.0
2014-12-16,148363,148363,139863,141795,63989,1798917.0,9803360.0
2014-12-17,142954,143340,135613,137932,62883,1749900.0,9803360.0
2014-12-18,138704,138704,132909,135227,52951,1715588.0,9803360.0
2014-12-19,136386,141022,136000,138318,51647,1754801.0,9803360.0
2014-12-22,140250,142568,139477,141023,17670,1789113.0,9803360.0
2014-12-23,142181,142181,138318,139091,9741,1764605.0,9803360.0
2014-12-24,139477,141409,139090,140636,13597,1784212.0,9803360.0
2014-12-26,142181,144886,141022,142955,17087,1813622.0,9803360.0
2014-12-29,142568,142568,137545,139864,25756,1774408.0,9803360.0
2014-12-30,139863,141409,135227,137545,33630,1744998.0,9803360.0
2015-01-02,137545,139477,136000,137545,13669,1744998.0,9803360.0
2015-01-05,138318,138704,136772,137545,16856,1744998.0,9803360.0
2015-01-06,136000,136772,132909,133682,22080,1695981.0,9803360.0
2015-01-07,132136,139090,132136,139091,31178,1764605.0,9803360.0
2015-01-08,140250,140636,134840,135614,23428,1720490.0,9803360.0
2015-01-09,135613,137545,134454,136000,17411,1725391.0,9803360.0
2015-01-12,134840,142568,134840,138318,62944,1754801.0,9803360.0
2015-01-13,138318,140250,137159,138318,34337,1754801.0,9803360.0
2015-01-14,139477,140249,134840,135227,29529,1715588.0,9803360.0
2015-01-15,134454,137931,134454,136000,20945,1725391.0,9803360.0
2015-01-16,135613,136772,134068,136000,17482,1725391.0,9803360.0
2015-01-19,139477,140636,136386,137159,34869,1740096.0,9803360.0
2015-01-20,138318,139863,136000,137159,19094,1740096.0,9803360.0
2015-01-21,137931,139090,135613,135614,25372,1720490.0,9803360.0
2015-01-22,136772,137931,133681,133682,26910,1695981.0,9803360.0
2015-01-23,135613,136386,132136,132909,29973,1686178.0,9803360.0
2015-01-26,132909,134454,129818,129818,40443,1646964.0,9803360.0
2015-01-27,130590,131363,124795,125955,75892,1597948.0,9803360.0
2015-01-28,125954,136772,124022,135227,65887,1715588.0,9803360.0
2015-01-29,136386,140636,133295,136000,47912,1725391.0,9803360.0
2015-01-30,136772,140636,133681,140636,54095,1784212.0,9803360.0
2015-02-02,136000,137931,134454,136000,40700,1725391.0,9803360.0
2015-02-03,134454,139863,133681,139091,40705,1764605.0,9803360.0
2015-02-04,140636,141795,137931,137932,36179,1749900.0,9803360.0
2015-02-05,136772,137931,132909,137932,49789,1749900.0,9803360.0
2015-02-06,137931,141795,137159,139864,39995,1774408.0,9803360.0
2015-02-09,141409,141409,139090,139864,21264,1774408.0,9803360.0
2015-02-10,140636,141795,136386,139864,22326,1774408.0,9803360.0
2015-02-11,140636,147590,137545,147591,59919,1872442.0,9803360.0
2015-02-12,148363,148363,142568,142955,21111,1813622.0,9803360.0
2015-02-13,144500,144500,138704,142955,24474,1813622.0,9803360.0
2015-02-16,144113,144113,141022,142955,13035,1813622.0,9803360.0
2015-02-17,142954,142954,139863,141409,9970,1794015.0,9803360.0
2015-02-23,139863,143340,139090,143341,26636,1818523.0,9803360.0
