모두투어리츠(204210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-09-22,5700,5700,5150,5230,573126,40934.0,7826815.0
2016-09-23,5260,5270,5050,5050,309062,39525.0,7826815.0
2016-09-26,5100,5190,5040,5180,197510,40543.0,7826815.0
2016-09-27,5150,5240,5080,5220,152132,40856.0,7826815.0
2016-09-28,5210,5300,5170,5300,123487,41482.0,7826815.0
2016-09-29,5180,5270,5180,5230,31450,40934.0,7826815.0
2016-09-30,5200,5250,5100,5160,75131,40386.0,7826815.0
2016-10-04,5200,5200,5090,5130,36969,40152.0,7826815.0
2016-10-05,5130,5130,5000,5060,66143,39604.0,7826815.0
2016-10-06,5090,5090,5000,5080,42587,39760.0,7826815.0
2016-10-07,5100,5250,5020,5120,83031,40073.0,7826815.0
2016-10-10,5150,5180,5040,5100,22652,39917.0,7826815.0
2016-10-11,5150,5150,5040,5140,30603,40230.0,7826815.0
2016-10-12,5070,5140,5060,5140,25382,40230.0,7826815.0
2016-10-13,5180,5180,5080,5140,23092,40230.0,7826815.0
2016-10-14,5130,5170,5080,5100,10891,39917.0,7826815.0
2016-10-17,5170,5170,5050,5060,32509,39604.0,7826815.0
2016-10-18,5070,5240,5070,5150,36222,40308.0,7826815.0
2016-10-19,5160,5160,5080,5110,26007,39995.0,7826815.0
2016-10-20,5090,5180,5080,5090,19194,39838.0,7826815.0
2016-10-21,5070,5180,5060,5140,21828,40230.0,7826815.0
2016-10-24,5190,5190,5050,5100,31094,39917.0,7826815.0
2016-10-25,5040,5090,4935,4935,59721,38625.0,7826815.0
2016-10-26,4910,4950,4650,4660,53576,36473.0,7826815.0
2016-10-27,4660,4745,4630,4670,26675,36551.0,7826815.0
2016-10-28,4730,4730,4490,4560,30178,35690.0,7826815.0
2016-10-31,4735,4735,4500,4670,14923,36551.0,7826815.0
2016-11-01,4705,4705,4525,4570,26312,35769.0,7826815.0
2016-11-02,4490,4590,4415,4505,36707,35260.0,7826815.0
2016-11-03,4540,4540,4455,4490,15336,35142.0,7826815.0
2016-11-04,4570,4570,4465,4490,20188,35142.0,7826815.0
2016-11-07,4550,4550,4490,4530,12230,35455.0,7826815.0
2016-11-08,4530,4540,4500,4535,2738,35495.0,7826815.0
2016-11-09,4585,4630,4420,4530,20387,35455.0,7826815.0
2016-11-10,4590,4590,4425,4500,17866,35221.0,7826815.0
2016-11-11,4540,4540,4490,4500,3674,35221.0,7826815.0
2016-11-14,4560,4560,4480,4525,8480,35416.0,7826815.0
2016-11-15,4545,4550,4495,4530,14121,35455.0,7826815.0
2016-11-16,4555,4570,4490,4545,18517,35573.0,7826815.0
2016-11-17,4550,4555,4500,4550,7043,35612.0,7826815.0
