금호에이치티(214330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-11,9500,9960,8850,8860,2055041,86518.0,9765000.0
2015-11-12,8980,9160,8870,9060,214219,88471.0,9765000.0
2015-11-13,9010,9160,8950,9100,85487,88862.0,9765000.0
2015-11-16,9030,9100,8850,9020,64750,88080.0,9765000.0
2015-11-17,9090,9090,8850,9020,41136,88080.0,9765000.0
2015-11-18,9040,9050,8850,8940,22567,87299.0,9765000.0
2015-11-19,8960,9120,8930,9120,30043,89057.0,9765000.0
2015-11-20,9120,9150,8860,9120,81992,89057.0,9765000.0
2015-11-23,9160,9160,8900,9020,25491,88080.0,9765000.0
2015-11-24,9000,9080,8960,9030,23893,88178.0,9765000.0
2015-11-25,9120,9570,9120,9450,124471,92279.0,9765000.0
2015-11-26,9510,9530,9250,9380,118416,91596.0,9765000.0
2015-11-27,9400,9500,9290,9370,86260,91498.0,9765000.0
2015-11-30,9220,9350,9220,9280,32453,90619.0,9765000.0
2015-12-01,9220,9350,9220,9270,47397,90522.0,9765000.0
2015-12-02,9340,9340,9240,9260,55496,90424.0,9765000.0
2015-12-03,9350,9350,9240,9320,47579,91010.0,9765000.0
2015-12-04,9350,10100,9350,9860,257389,96283.0,9765000.0
2015-12-07,9860,10100,9860,10000,276008,97650.0,9765000.0
2015-12-08,9950,10100,9630,10000,100108,97650.0,9765000.0
2015-12-09,10000,10250,9760,10000,142575,97650.0,9765000.0
2015-12-10,9910,10150,9800,9940,54705,97064.0,9765000.0
2015-12-11,9980,10100,9820,9900,53763,96674.0,9765000.0
2015-12-14,9700,9990,9700,9900,34724,96674.0,9765000.0
2015-12-15,9900,9900,9750,9900,7850,96674.0,9765000.0
2015-12-16,9900,9980,9870,9890,13249,96576.0,9765000.0
2015-12-17,9800,9890,9650,9710,34057,94818.0,9765000.0
2015-12-18,9650,9900,9650,9710,15293,94818.0,9765000.0
2015-12-21,9710,9970,9670,9700,35211,94720.0,9765000.0
2015-12-22,9680,9910,9330,9530,71964,93060.0,9765000.0
2015-12-23,9900,10100,9630,9900,102803,96674.0,9765000.0
2015-12-24,9900,10100,9870,9970,25206,97357.0,9765000.0
2015-12-28,9970,9970,9840,9900,8353,96674.0,9765000.0
2015-12-29,9980,9980,9390,9750,21285,95209.0,9765000.0
2015-12-30,9930,10100,9610,9900,142427,96674.0,9765000.0
2016-01-04,9920,10050,9780,10000,31530,97650.0,9765000.0
2016-01-05,10000,10100,9510,9760,101321,95306.0,9765000.0
2016-01-06,9750,10500,9720,10450,324945,102044.0,9765000.0
2016-01-07,10450,11300,10050,10900,245580,106438.0,9765000.0
2016-01-08,10700,11000,10500,10900,120668,106438.0,9765000.0
2016-01-11,10900,11200,10350,10750,136101,104974.0,9765000.0
2016-01-12,10550,10800,10200,10350,81994,101068.0,9765000.0
2016-01-13,10350,11050,10350,10850,148519,105950.0,9765000.0
2016-01-14,10800,10850,10450,10800,43407,105462.0,9765000.0
2016-01-15,10800,11000,10150,10650,154553,103997.0,9765000.0
2016-01-18,10500,10700,10150,10550,73084,103021.0,9765000.0
2016-01-19,10500,10500,9970,9980,197576,97455.0,9765000.0
2016-01-20,10250,10500,9650,10100,163505,98626.0,9765000.0
2016-01-21,10100,10100,9750,10050,96461,98138.0,9765000.0
2016-01-22,10150,10600,9930,10250,78795,100091.0,9765000.0
2016-01-25,10300,10750,10300,10750,66820,104974.0,9765000.0
2016-01-26,10750,11200,10600,11000,120216,107415.0,9765000.0
2016-01-27,10700,11350,10700,11300,82672,110344.0,9765000.0
2016-01-28,11300,11700,11100,11700,74181,114250.0,9765000.0
2016-01-29,11900,11950,11300,11550,50980,112786.0,9765000.0
2016-02-01,11550,11750,11000,11600,72884,113274.0,9765000.0
2016-02-02,11450,11850,11200,11400,60069,111321.0,9765000.0
2016-02-03,11300,11550,11000,11350,55588,110833.0,9765000.0
2016-02-04,11700,12200,11250,11500,174400,112298.0,9765000.0
2016-02-05,11500,12000,11250,11300,54574,110344.0,9765000.0
2016-02-11,11150,11150,10200,10800,144299,105462.0,9765000.0
2016-02-12,10400,10800,9900,10000,328608,97650.0,9765000.0
2016-02-15,10100,10300,9960,10100,97554,98626.0,9765000.0
2016-02-16,10100,10500,10050,10200,78932,99603.0,9765000.0
2016-02-17,10200,10500,9900,9900,86517,96674.0,9765000.0
2016-02-18,10000,10450,9960,10350,43814,101068.0,9765000.0
2016-02-19,10400,10550,10250,10500,9385,102532.0,9765000.0
2016-02-22,10500,10600,10300,10450,21298,102044.0,9765000.0
2016-02-23,10450,10700,9950,10000,182801,97650.0,9765000.0
2016-02-24,10050,10050,9820,9870,55055,96381.0,9765000.0
2016-02-25,9930,10150,9850,9880,23281,96478.0,9765000.0
2016-02-26,9890,10050,9830,9950,23431,97162.0,9765000.0
2016-02-29,9950,10000,9750,9840,38688,96088.0,9765000.0
2016-03-02,9840,9990,9600,9700,60057,94720.0,9765000.0
2016-03-03,9770,9920,9640,9700,77821,94720.0,9765000.0
2016-03-04,9790,9890,9700,9880,28440,96478.0,9765000.0
2016-03-07,9820,10000,9820,9890,14777,96576.0,9765000.0
2016-03-08,9860,9910,9690,9800,42454,95697.0,9765000.0
2016-03-09,9630,9790,9490,9600,73553,93744.0,9765000.0
2016-03-10,9640,9640,9360,9550,86830,93256.0,9765000.0
2016-03-11,9600,9790,9470,9620,58492,93939.0,9765000.0
2016-03-14,9680,9720,9430,9620,41113,93939.0,9765000.0
2016-03-15,9640,9650,9450,9620,30783,93939.0,9765000.0
2016-03-16,9590,9700,9450,9500,39248,92768.0,9765000.0
2016-03-17,9550,9590,9460,9570,72988,93451.0,9765000.0
2016-03-18,9630,9810,9500,9660,40971,94330.0,9765000.0
2016-03-21,9660,9740,9420,9680,45861,94525.0,9765000.0
2016-03-22,9710,9720,9470,9700,22173,94720.0,9765000.0
2016-03-23,9740,10050,9630,9900,52900,96674.0,9765000.0
2016-03-24,9910,10100,9870,9980,40098,97455.0,9765000.0
2016-03-25,9980,9980,9860,9860,27514,96283.0,9765000.0
2016-03-28,9840,9840,9200,9430,247635,92084.0,9765000.0
2016-03-29,9320,9400,9090,9090,168995,88764.0,9765000.0
2016-03-30,9130,9180,8640,8840,343707,86323.0,9765000.0
2016-03-31,8840,9140,8800,9070,80363,88569.0,9765000.0
2016-04-01,9070,9130,8860,8970,73787,87592.0,9765000.0
2016-04-04,9080,9350,8990,9190,50082,89740.0,9765000.0
2016-04-05,9270,9270,9060,9240,57082,90229.0,9765000.0
2016-04-06,9250,9370,9140,9200,28043,89838.0,9765000.0
2016-04-07,9380,9380,9100,9200,77508,89838.0,9765000.0
2016-04-08,9200,9200,9040,9130,41720,89154.0,9765000.0
2016-04-11,9150,9360,9090,9220,65071,90033.0,9765000.0
2016-04-12,9300,9300,9090,9250,117922,90326.0,9765000.0
2016-04-14,9250,9280,9130,9200,58911,89838.0,9765000.0
2016-04-15,9250,9250,9110,9190,52958,89740.0,9765000.0
2016-04-18,9160,9260,9050,9150,64735,89350.0,9765000.0
2016-04-19,9200,9570,9100,9440,107490,92182.0,9765000.0
2016-04-20,9460,10400,9450,9930,306721,96966.0,9765000.0
2016-04-21,9940,9980,9750,9900,51900,96674.0,9765000.0
2016-04-22,9850,10100,9810,9950,78685,97162.0,9765000.0
2016-04-25,9980,9980,9700,9800,51617,95697.0,9765000.0
2016-04-26,9710,9840,9450,9750,98917,95209.0,9765000.0
2016-04-27,9830,9830,9570,9650,26425,94232.0,9765000.0
2016-04-28,9650,9800,9580,9730,41206,95013.0,9765000.0
2016-04-29,9700,9900,9660,9810,49080,95795.0,9765000.0
2016-05-02,9810,9850,9660,9750,25148,95209.0,9765000.0
2016-05-03,9710,9850,9500,9700,34133,94720.0,9765000.0
2016-05-04,9720,9750,9440,9460,42081,92377.0,9765000.0
2016-05-09,9490,9630,9340,9460,30949,92377.0,9765000.0
2016-05-10,9460,9480,9200,9430,56126,92084.0,9765000.0
2016-05-11,9460,9500,9280,9320,34238,91010.0,9765000.0
2016-05-12,9330,9530,9280,9490,38851,92670.0,9765000.0
2016-05-13,9490,9850,9400,9830,87469,95990.0,9765000.0
2016-05-16,9400,9400,8670,9030,367064,88178.0,9765000.0
2016-05-17,9090,9150,9000,9070,48570,88569.0,9765000.0
2016-05-18,9030,9070,8620,8710,135025,85053.0,9765000.0
2016-05-19,8660,8790,8600,8690,66672,84858.0,9765000.0
2016-05-20,8740,8740,8330,8430,165465,82319.0,9765000.0
2016-05-23,8450,8520,8380,8450,50698,82514.0,9765000.0
2016-05-24,8440,8500,8250,8390,48370,81928.0,9765000.0
2016-05-25,8340,8630,8260,8570,57405,83686.0,9765000.0
2016-05-26,8530,8600,8480,8510,29813,83100.0,9765000.0
2016-05-27,8600,8600,8470,8580,20374,83784.0,9765000.0
2016-05-30,8610,8610,8260,8270,65426,80757.0,9765000.0
2016-05-31,8270,8440,8170,8420,43744,82221.0,9765000.0
2016-06-01,8440,8500,8340,8340,40737,81440.0,9765000.0
2016-06-02,8460,8590,8400,8540,30067,83393.0,9765000.0
2016-06-03,8510,8630,8370,8440,36145,82417.0,9765000.0
2016-06-07,8400,8500,8380,8400,14812,82026.0,9765000.0
2016-06-08,8400,8490,8350,8430,38108,82319.0,9765000.0
2016-06-09,8460,8730,8400,8680,73805,84760.0,9765000.0
2016-06-10,8780,8780,8580,8590,24093,83881.0,9765000.0
2016-06-13,8590,8590,8280,8290,80126,80952.0,9765000.0
2016-06-14,8250,8350,8100,8300,56636,81050.0,9765000.0
2016-06-15,8330,8350,8190,8200,22627,80073.0,9765000.0
2016-06-16,8160,8310,8080,8200,35492,80073.0,9765000.0
2016-06-17,8200,8290,8150,8150,23170,79585.0,9765000.0
2016-06-20,8150,8260,8130,8220,24393,80268.0,9765000.0
2016-06-21,8230,8290,8210,8250,11585,80561.0,9765000.0
2016-06-22,8300,8430,8140,8410,33319,82124.0,9765000.0
2016-06-23,8370,8420,8150,8260,32607,80659.0,9765000.0
2016-06-24,8450,8450,7650,7790,111655,76069.0,9765000.0
2016-06-27,7600,7840,7510,7800,43756,76167.0,9765000.0
2016-06-28,7790,7850,7670,7800,30522,76167.0,9765000.0
2016-06-29,7830,7900,7780,7830,51634,76460.0,9765000.0
2016-06-30,7860,8250,7800,8010,49398,78218.0,9765000.0
2016-07-01,8000,8100,8000,8000,35631,78120.0,9765000.0
2016-07-04,8030,8140,7930,8110,35419,79194.0,9765000.0
2016-07-05,8100,8140,7910,8080,24355,78901.0,9765000.0
2016-07-06,8080,8080,7860,7900,50557,77144.0,9765000.0
2016-07-07,7980,7980,7820,7940,50406,77534.0,9765000.0
2016-07-08,7960,8000,7700,7760,57120,75776.0,9765000.0
2016-07-11,7840,7920,7760,7890,22062,77046.0,9765000.0
2016-07-12,7840,7940,7830,7900,21024,77144.0,9765000.0
