현대코퍼레이션홀딩스(227840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-10-23,50000,61600,38150,38850,669197,353567.0,9100836.0
2015-10-26,39150,41250,33200,34750,503638,316254.0,9100836.0
2015-10-27,35050,38300,34150,36750,282889,334456.0,9100836.0
2015-10-28,36750,38100,36100,36800,84008,334911.0,9100836.0
2015-10-29,36500,38600,36500,37550,152064,341736.0,9100836.0
2015-10-30,37950,38200,35000,36250,97090,329905.0,9100836.0
2015-11-02,35850,36200,33150,33850,117746,308063.0,9100836.0
2015-11-03,33900,34250,30150,30700,202351,279396.0,9100836.0
2015-11-04,30700,31500,29650,30700,103139,279396.0,9100836.0
2015-11-05,31100,31700,30550,30900,67710,281216.0,9100836.0
2015-11-06,31200,31250,28800,28950,92794,263469.0,9100836.0
2015-11-09,29000,30700,28500,29700,88629,270295.0,9100836.0
2015-11-10,29350,29850,27550,27650,101147,251638.0,9100836.0
2015-11-11,27700,28350,26050,26950,75632,245268.0,9100836.0
2015-11-12,27050,30200,26750,28600,103874,260284.0,9100836.0
2015-11-13,28650,30100,28450,29500,55815,268475.0,9100836.0
2015-11-16,28500,29750,28300,29500,41977,268475.0,9100836.0
2015-11-17,29500,31000,28550,30150,60221,274390.0,9100836.0
2015-11-18,30700,31100,29850,30000,36079,273025.0,9100836.0
2015-11-19,29900,30700,28850,29350,52476,267110.0,9100836.0
2015-11-20,29100,30350,28750,28800,32668,262104.0,9100836.0
2015-11-23,29100,29100,28200,28800,22313,262104.0,9100836.0
2015-11-24,28800,29150,27100,28900,139311,263014.0,9100836.0
2015-11-25,28900,30150,28100,29350,111526,267110.0,9100836.0
2015-11-26,29500,32000,29500,31500,111312,286676.0,9100836.0
2015-11-27,31500,33650,31050,32700,96880,297597.0,9100836.0
2015-11-30,33000,33150,32200,32700,62458,297597.0,9100836.0
2015-12-01,32650,33550,31950,32350,52048,294412.0,9100836.0
2015-12-02,31900,32900,31200,31800,51840,289407.0,9100836.0
2015-12-03,32150,32150,31000,31900,21588,290317.0,9100836.0
2015-12-04,31950,31950,31150,31450,27536,286221.0,9100836.0
2015-12-07,31400,31450,30400,30900,27626,281216.0,9100836.0
2015-12-08,31100,31100,29750,30500,35698,277575.0,9100836.0
2015-12-09,30300,30900,29500,30100,25099,273935.0,9100836.0
2015-12-10,30600,30800,29350,30700,30184,279396.0,9100836.0
2015-12-11,31000,32800,29600,32800,64796,298507.0,9100836.0
2015-12-14,32150,32350,31200,32250,45661,293502.0,9100836.0
2015-12-15,32800,33000,31000,31800,24306,289407.0,9100836.0
2015-12-16,31500,31950,31300,31700,30657,288497.0,9100836.0
2015-12-17,31800,32350,30950,32350,56167,294412.0,9100836.0
2015-12-18,31750,33100,31600,32050,1183493,291682.0,9100836.0
2015-12-21,32600,33500,32150,32350,91087,294412.0,9100836.0
2015-12-22,32350,32850,31650,32500,151152,295777.0,9100836.0
2015-12-23,32750,32750,30750,30800,135131,280306.0,9100836.0
2015-12-24,30800,31200,28900,29500,99442,268475.0,9100836.0
2015-12-28,29500,29950,28000,28900,84533,263014.0,9100836.0
2015-12-29,28700,30100,28700,29850,44964,271660.0,9100836.0
2015-12-30,29600,30700,29600,30700,29645,279396.0,9100836.0
2016-01-04,30800,32100,30500,31200,62406,283946.0,9100836.0
2016-01-05,30550,31050,30250,30400,32359,276665.0,9100836.0
2016-01-06,30400,31100,29550,29700,39698,270295.0,9100836.0
2016-01-07,29750,30150,28600,28600,42394,260284.0,9100836.0
2016-01-08,28000,28700,27500,28450,25906,258919.0,9100836.0
2016-01-11,28450,28450,26700,26850,93139,244357.0,9100836.0
2016-01-12,27000,28850,26950,28800,50273,262104.0,9100836.0
2016-01-13,29300,30000,28450,29650,57872,269840.0,9100836.0
2016-01-14,29500,29500,27900,28450,30528,258919.0,9100836.0
2016-01-15,29000,29000,27550,27550,22543,250728.0,9100836.0
2016-01-18,27950,28000,26900,27500,50903,250273.0,9100836.0
2016-01-19,26900,27750,26450,27250,54407,247998.0,9100836.0
2016-01-20,27250,27450,26100,26900,30096,244812.0,9100836.0
2016-01-21,26550,26950,26050,26100,28423,237532.0,9100836.0
2016-01-22,26100,27000,25850,26700,44741,242992.0,9100836.0
2016-01-25,26750,27000,26000,26050,51013,237077.0,9100836.0
2016-01-26,26000,26150,24500,24550,83200,223426.0,9100836.0
2016-01-27,24350,25300,24350,25300,62606,230251.0,9100836.0
2016-01-28,25600,27150,25050,27000,64223,245723.0,9100836.0
2016-01-29,27000,29300,27000,29100,64814,264834.0,9100836.0
2016-02-01,29100,30050,28000,29050,36187,264379.0,9100836.0
2016-02-02,29000,29650,28650,29300,12996,266654.0,9100836.0
2016-02-03,29400,29400,28250,28600,18806,260284.0,9100836.0
2016-02-04,29150,29200,28100,28950,16815,263469.0,9100836.0
2016-02-05,28950,28950,28400,28700,8075,261194.0,9100836.0
2016-02-11,27350,27900,25850,27500,72428,250273.0,9100836.0
2016-02-12,26700,27500,25050,25200,83961,229341.0,9100836.0
2016-02-15,25700,26700,25300,26100,19564,237532.0,9100836.0
2016-02-16,25900,27700,25900,27500,29367,250273.0,9100836.0
2016-02-17,27500,27700,26700,26900,9385,244812.0,9100836.0
2016-02-18,27000,27200,26200,26850,34873,244357.0,9100836.0
2016-02-19,26850,26950,25950,26300,23611,239352.0,9100836.0
2016-02-22,26200,26400,25750,26100,18040,237532.0,9100836.0
2016-02-23,26100,26350,25250,26150,38436,237987.0,9100836.0
2016-02-24,25550,26000,25450,25550,31340,232526.0,9100836.0
2016-02-25,25600,25950,25050,25400,44859,231161.0,9100836.0
2016-02-26,25250,25450,25050,25400,19191,231161.0,9100836.0
2016-02-29,25150,25450,24700,24900,34067,226611.0,9100836.0
2016-03-02,25250,25900,25100,25900,44559,235712.0,9100836.0
2016-03-03,25950,25950,25150,25200,20310,229341.0,9100836.0
2016-03-04,25400,25400,24600,24900,18583,226611.0,9100836.0
2016-03-07,25000,25700,24600,25200,47148,229341.0,9100836.0
2016-03-08,25200,25650,24900,25050,59412,227976.0,9100836.0
2016-03-09,25100,25250,24750,24950,26695,227066.0,9100836.0
2016-03-10,24950,25300,24800,24900,31061,226611.0,9100836.0
2016-03-11,24900,26500,24800,25350,66292,230706.0,9100836.0
2016-03-14,25400,25550,24850,25450,45920,231616.0,9100836.0
2016-03-15,25450,26150,25300,25650,44156,233436.0,9100836.0
2016-03-16,25650,26450,25350,26150,120408,237987.0,9100836.0
2016-03-17,26350,27350,25700,27350,130071,248908.0,9100836.0
2016-03-18,27050,27800,26750,27000,44856,245723.0,9100836.0
2016-03-21,26900,27300,26000,26900,59146,244812.0,9100836.0
2016-03-22,26850,26850,26250,26750,41763,243447.0,9100836.0
2016-03-23,26750,27150,26250,26500,33634,241172.0,9100836.0
2016-03-24,26400,26650,25900,26500,59118,241172.0,9100836.0
2016-03-25,26300,26450,25800,26000,52090,236622.0,9100836.0
2016-03-28,25850,26100,25100,25150,45415,228886.0,9100836.0
2016-03-29,25300,25600,24250,24700,94744,224791.0,9100836.0
2016-03-30,24950,25300,24400,24550,54737,223426.0,9100836.0
2016-03-31,24650,24800,24350,24550,31431,223426.0,9100836.0
2016-04-01,24550,25100,24450,24950,31856,227066.0,9100836.0
2016-04-04,24900,26000,24700,25900,46112,235712.0,9100836.0
