SK케미칼(285130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-01-05,111000,114000,93500,107500,1282241,1244834.0,11579852.0
2018-01-08,109000,109000,99800,101000,533640,1169565.0,11579852.0
2018-01-09,102500,119500,101500,116000,782363,1343263.0,11579852.0
2018-01-10,116000,121000,112000,114000,357741,1320103.0,11579852.0
2018-01-11,114500,118000,112000,114000,194223,1320103.0,11579852.0
2018-01-12,114000,120500,109000,118500,363991,1372212.0,11579852.0
2018-01-15,119500,128500,119000,122000,466797,1412742.0,11579852.0
2018-01-16,122000,122000,118000,120000,183784,1389582.0,11579852.0
2018-01-17,120500,120500,112000,112500,226037,1302733.0,11579852.0
2018-01-18,114500,115000,110500,111500,145401,1291153.0,11579852.0
2018-01-19,111500,115000,111000,111000,109899,1285364.0,11579852.0
2018-01-22,110500,111000,107500,109500,111714,1267994.0,11579852.0
2018-01-23,110500,113500,109000,111000,99852,1285364.0,11579852.0
2018-01-24,111500,116000,111500,115000,135157,1331683.0,11579852.0
2018-01-25,116000,116000,113500,115000,80543,1331683.0,11579852.0
2018-01-26,115000,116000,111500,112500,113248,1302733.0,11579852.0
2018-01-29,113000,113000,111000,112000,102780,1296943.0,11579852.0
2018-01-30,112000,117000,112000,115500,199075,1337473.0,11579852.0
2018-01-31,114500,117000,113000,115000,144616,1331683.0,11579852.0
2018-02-01,115500,116500,112000,112000,103975,1296943.0,11579852.0
2018-02-02,112500,113500,108000,109000,124931,1262204.0,11579852.0
2018-02-05,106000,107500,101500,102500,135075,1186935.0,11579852.0
2018-02-06,98200,103500,95900,101500,189357,1175355.0,11579852.0
2018-02-07,104000,104000,99100,99200,127611,1148721.0,11579852.0
2018-02-08,99000,101500,98200,100000,116615,1157985.0,11579852.0
2018-02-09,97400,102000,96500,100500,110042,1163775.0,11579852.0
2018-02-12,98800,103000,98700,103000,173351,1192725.0,11579852.0
2018-02-13,115000,116500,105500,107000,593574,1239044.0,11579852.0
2018-02-14,107500,109500,103000,105000,154019,1215884.0,11579852.0
2018-02-19,109000,111000,108000,109500,118500,1267994.0,11579852.0
2018-02-20,109000,113000,108500,109500,108680,1267994.0,11579852.0
2018-02-21,110500,114000,109000,113000,121214,1308523.0,11579852.0
2018-02-22,112500,113000,110500,111000,71123,1285364.0,11579852.0
2018-02-23,112000,113500,111500,113500,97859,1314313.0,11579852.0
2018-02-26,113500,114000,109000,110000,152544,1273784.0,11579852.0
2018-02-27,110500,111500,107500,109000,90543,1262204.0,11579852.0
2018-02-28,108000,110000,107500,109000,72980,1262204.0,11579852.0
2018-03-02,107000,108000,105500,106500,83506,1233254.0,11579852.0
2018-03-05,106000,107000,104000,104500,78837,1210095.0,11579852.0
2018-03-06,106000,107000,104500,105000,77860,1215884.0,11579852.0
2018-03-07,105000,107500,104500,106000,64705,1227464.0,11579852.0
2018-03-08,107000,109500,106000,109000,76117,1262204.0,11579852.0
