우리금융지주(316140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-13,15600,15600,14950,15300,3961223,10406514.0,680164306.0
2019-02-14,15250,16000,15200,16000,2626606,10882629.0,680164306.0
2019-02-15,15800,15850,15600,15650,1276624,10644571.0,680164306.0
2019-02-18,15700,15800,15650,15750,1034314,10712588.0,680164306.0
2019-02-19,15800,15850,15550,15550,974123,10576555.0,680164306.0
2019-02-20,15400,15500,15100,15250,2923220,10372506.0,680164306.0
2019-02-21,15200,15250,15050,15100,883514,10270481.0,680164306.0
2019-02-22,14950,15000,14750,14850,1546763,10100440.0,680164306.0
2019-02-25,14900,15050,14850,14900,905856,10134448.0,680164306.0
2019-02-26,14900,14950,14700,14700,890582,9998415.0,680164306.0
2019-02-27,14650,14850,14500,14800,1573961,10066432.0,680164306.0
2019-02-28,14800,14800,14600,14800,2377878,10066432.0,680164306.0
2019-03-04,14700,14750,14350,14400,1547446,9794366.0,680164306.0
2019-03-05,14400,14400,14150,14250,1286767,9692341.0,680164306.0
2019-03-06,14350,14450,14150,14350,1117292,9760358.0,680164306.0
2019-03-07,14400,14450,14150,14200,905411,9658333.0,680164306.0
2019-03-08,14150,14200,14000,14000,651905,9522300.0,680164306.0
2019-03-11,13950,14200,13950,14150,663971,9624325.0,680164306.0
2019-03-12,14200,14450,14150,14400,841522,9794366.0,680164306.0
2019-03-13,14300,14550,14250,14550,715885,9896391.0,680164306.0
2019-03-14,14550,14600,14350,14350,1578814,9760358.0,680164306.0
2019-03-15,14400,14850,14350,14850,3539125,10100440.0,680164306.0
2019-03-18,14900,15000,14750,14950,763184,10168456.0,680164306.0
2019-03-19,15000,15050,14800,14900,995019,10134448.0,680164306.0
2019-03-20,14800,15000,14750,15000,581438,10202465.0,680164306.0
2019-03-21,14800,15000,14600,14650,1055925,9964407.0,680164306.0
2019-03-22,14500,14550,14000,14050,23513784,9556308.0,680164306.0
2019-03-25,13900,14000,13350,13400,3167652,9114202.0,680164306.0
2019-03-26,13500,13550,13350,13350,1318663,9080193.0,680164306.0
2019-03-27,13450,13650,13450,13500,1587553,9182218.0,680164306.0
2019-03-28,13450,13650,13450,13550,1634096,9216226.0,680164306.0
2019-03-29,13600,13850,13550,13750,1995723,9352259.0,680164306.0
2019-04-01,13850,14250,13800,14150,2079046,9624325.0,680164306.0
2019-04-02,14150,14350,14150,14250,1444377,9692341.0,680164306.0
2019-04-03,14100,14400,14100,14400,1241047,9794366.0,680164306.0
2019-04-04,14450,14600,14350,14450,1666798,9828374.0,680164306.0
2019-04-05,14500,14600,14350,14400,887367,9794366.0,680164306.0
2019-04-08,14350,14500,14300,14300,1227406,9726350.0,680164306.0
2019-04-09,14400,14450,14300,14350,1097314,9760358.0,680164306.0
2019-04-10,14250,14350,14050,14350,1718389,9760358.0,680164306.0
2019-04-11,14350,14450,14250,14350,1882279,9760358.0,680164306.0
2019-04-12,14400,14450,14250,14300,1110551,9726350.0,680164306.0
2019-04-15,14300,14450,14250,14300,1040210,9726350.0,680164306.0
2019-04-16,14200,14350,14150,14200,1062403,9658333.0,680164306.0
2019-04-17,14250,14300,14150,14150,794666,9624325.0,680164306.0
2019-04-18,14150,14150,13950,14000,1096357,9522300.0,680164306.0
2019-04-19,13950,14050,13950,13950,468664,9488292.0,680164306.0
2019-04-22,13900,13950,13850,13850,580501,9420276.0,680164306.0
2019-04-23,13900,14100,13750,14000,1324375,9522300.0,680164306.0
2019-04-24,14000,14050,13750,13850,1066707,9420276.0,680164306.0
2019-04-25,13800,14000,13750,14000,751660,9522300.0,680164306.0
2019-04-26,14000,14100,13800,13850,868559,9420276.0,680164306.0
2019-04-29,13850,14000,13800,14000,497794,9522300.0,680164306.0
2019-04-30,14100,14150,13850,13850,1246644,9420276.0,680164306.0
2019-05-02,13850,14200,13800,14200,853449,9658333.0,680164306.0
2019-05-03,14200,14200,13900,13950,642365,9488292.0,680164306.0
2019-05-07,13800,14050,13800,14050,1016057,9556308.0,680164306.0
2019-05-08,13900,14200,13850,14050,956350,9556308.0,680164306.0
2019-05-09,14050,14150,13850,13850,1642027,9420276.0,680164306.0
2019-05-10,13900,14050,13750,13800,1087540,9386267.0,680164306.0
2019-05-13,13750,13800,13500,13600,1163225,9250235.0,680164306.0
2019-05-14,13400,13700,13400,13700,1037129,9318251.0,680164306.0
2019-05-15,13700,13900,13500,13850,1292151,9420276.0,680164306.0
2019-05-16,13750,13950,13750,13800,1058541,9386267.0,680164306.0
2019-05-17,13900,13950,13700,13700,888163,9318251.0,680164306.0
2019-05-20,13750,13850,13700,13750,668952,9352259.0,680164306.0
2019-05-21,13750,13900,13750,13850,754764,9420276.0,680164306.0
2019-05-22,13900,14050,13800,14050,976568,9556308.0,680164306.0
2019-05-23,14050,14050,13900,13950,831364,9488292.0,680164306.0
2019-05-24,13950,14250,13950,14250,1131257,9692341.0,680164306.0
2019-05-27,14200,14250,14000,14100,761694,9590317.0,680164306.0
2019-05-28,14100,14200,14000,14150,1802813,9624325.0,680164306.0
2019-05-29,14200,14250,13900,14000,1059910,9522300.0,680164306.0
2019-05-30,14000,14150,13950,14100,751578,9590317.0,680164306.0
2019-05-31,14000,14100,13800,13900,1308995,9454284.0,680164306.0
2019-06-03,13850,14000,13800,14000,1202772,9522300.0,680164306.0
2019-06-04,14050,14150,14000,14100,826032,9590317.0,680164306.0
2019-06-05,14050,14100,13800,13850,1052753,9420276.0,680164306.0
2019-06-07,13850,13900,13650,13750,1239993,9352259.0,680164306.0
2019-06-10,13850,13900,13800,13850,1407551,9420276.0,680164306.0
2019-06-11,13850,13900,13800,13900,939500,9454284.0,680164306.0
2019-06-12,14000,14150,13900,14000,1600476,9522300.0,680164306.0
2019-06-13,14000,14100,13800,14000,1341715,9522300.0,680164306.0
2019-06-14,14000,14050,13800,13950,1081193,9488292.0,680164306.0
